appid,title,genres,developers,publishers,tags,release_year,short_description
348740,Abyss Cave,"Action,Adventure,Indie,Strategy",Piao Jingfu,Piao Jingfu,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Family Sharing",2024,"As a member of an elite squad, you are tasked with a mission to penetrate into the great abyss. You are to explore an unknown cave system and eliminate all threats that may arise, Good luck Soldier!"
348790,Wooden Floor,"Adventure,Indie",pheenix93,pheenix93,"Single-player,Partial Controller Support,Family Sharing",2015,Wooden Floor is a first person horror game full of visual trickery ... Not being able to predict what is going to happen next you need to make your way through the haunted house.
348800,Chester One,"Action,Adventure,Indie","Brilliant Blue-G, LLC","Brilliant Blue-G, LLC","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",2017,"Now FREE and worth every penny! A love letter to classic platforming action and 90s animation oddness. Eat magical candies to change the art of the world around you as you fight through 40 levels unlocking new Chesters, battling strange baddies, finding secret secrets, and reclaiming your cupcakes!"
348810,M4 Tank Brigade,"Action,Massively Multiplayer,Simulation",iEntertainment Network Inc,iEntertainment Network Inc,"Single-player,Multi-player,MMO,Co-op,Partial Controller Support,Family Sharing",2018,M4 Tank Brigade is a WWII Tank Simulation game offering both Tactical and Strategic game play as the player controls 4 tanks in his own platoon and up to 3 other platoons at the same time! Single Player game with thousands of different missions and online Multiplayer combat.
348840,UFHO2,"Indie,Strategy","Tiny Colossus,Ciro Continisio",Tiny Colossus,"Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Stats,Steam Leaderboards,Remote Play Together",2015,"Play an alien navigating a maze of hexagons in this competitive mix between strategy and board game. Plan your next turn, think fast, act faster, and outmanoeuvre your opponents by predicting their moves. UFHO2 is strategy at its finest."
348860,MyDream,"Action,Adventure,Casual,Free To Play,Indie,RPG","MyDream Interactive, Inc","MyDream Interactive, Inc","Single-player,VR Supported,Partial Controller Support",2015,"Build, terraform, quest, and explore your way across beautiful voxel-based worlds in MyDream!"
348870,Night Mysteries: The Amphora Prisoner,"Adventure,Casual",Anvate Games,Anvate Games,"Single-player,Steam Trading Cards,Steam Cloud,Family Sharing",2015,"You'll enjoy a whole lot of fascinating minigames, an excellent quest for the necessary items, and a captivating and outstanding storyline. A great atmosphere and storyline provide the deepest possible gameplay involvement."
348910,Faerie Solitaire Harvest,"Adventure,Casual",Subsoap,Puppygames,"Single-player,Steam Achievements,Steam Cloud,Family Sharing",2019,"Match cards, rescue Faeries, and raise Magical Pets as you explore the many and vast enchanted worlds of Faerie Solitaire Harvest!"
348930,Lone Wolf,"Action,Adventure,Indie,RPG",Play-Em,Play-Em,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together,Family Sharing",2024,"Lone Wolf: A Post Apocalyptic Beat-Em Up Role Playing Game. This action/adventure game lets a player use martial arts skills, weapons, and turn into a werewolf to fight their way through a world set in the aftermath of post nuclear devastation."
348950,Ame no Marginal -Rain Marginal-,Indie,stage-nana,Sekai Project,"Single-player,Steam Trading Cards,Steam Cloud,Family Sharing",2015,"The latest visual novel by Tomo Kataoka, the author of Narcissu 1st &amp; 2nd, has arrived! An empty world with endless rain and only one person. Here there is no hunger, sickness or even death. Just what story does this world's one occupant have?"
348960,Odysseus: Long Way Home,"Adventure,Casual",Rainbow Games,Rainbow Games,"Single-player,Steam Trading Cards,Family Sharing",2015,"Embark on an exciting journey and plunge yourself into the myths of Ancient Greece with Odysseus, the legendary hero of the Trojan war."
348980,INIT.,"Action,Adventure,Casual,Indie,Strategy",Narrow Monolith,Narrow Monolith,"Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Trading Cards,Partial Controller Support,Steam Cloud,Commentary available,Remote Play Together,Family Sharing",2015,INIT. will test your ability to see through illusion and discover innovative and cerebral challenges that can be solved as simply as changing the way you perceive them.
349020,Hyperspace Pinball,"Action,Casual,Indie","Gamieon, Inc.","Gamieon, Inc.","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Stats,Steam Leaderboards,Family Sharing",2015,Hyperspace Pinball has players fighting off an alien invasion using pinball controls in a high intensity action game for all ages!
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,"Action,Adventure",CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Family Sharing",2016,The latest opus in the acclaimed STORM series is taking you on a colourful and breathtaking ride. Take advantage of the totally revamped battle system and prepare to dive into the most epic fights you’ve ever seen !
349060,Fruits Inc. Deluxe Pack,"Casual,Indie",Manifesto Game Studio,Strategy First,"Single-player,Family Sharing",2015,Embark on this journey and expand Fruits Inc.!
349100,Notrium,"Action,Adventure,Indie,RPG","Ville Mönkkönen,Michael Quigley",Ville Mönkkönen,"Single-player,Steam Achievements,Steam Cloud,Includes level editor,Family Sharing",2015,"You have crash-landed on Notrium. Your food supplies are running low, and a pack of predatory aliens have your scent. You're out of bullets for your pistol, your only weapon a handful of rocks. A freezing night is setting in, and you are desperately looking for firewood. Can you survive?"
349140,Corrosion: Cold Winter Waiting [Enhanced Edition],"Adventure,Indie",Viperante,Viperante,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing",2015,"Horror adventure awaits as you step into a place nobody knew existed and hunt for clues around every dark corner and in every scribbled notebook. With a twisted past, and a terrible secret just waiting to be revealed, Cold Winter Farm will leave you questioning whether what you know, is really what you know."
349150,Dead TrailZ,"Action,Indie,Early Access","Galactic Bits, Inc","Galactic Bits, Inc","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Family Sharing",2016,"Dead TrailZ is a fast paced tower defense/roguelike first person shooter. Escape the Apocalypse, battling waves of zombie hordes. Adjust your strategy based on the weapons you unlock, the ammo you find and the boosts you receive for your shooting skills."
349190,Soul Locus,"Casual,Indie,RPG,Strategy,Early Access",Fat Loot Games,Fat Loot Games,"Single-player,Steam Achievements,Steam Cloud,Family Sharing",2015,A Creature Collection Tower Defense Game! Defend yourself with creatures that you collect and train. Quote from a fan: ''It's Pokémon meets tower defense!''
349220,The Black Watchmen,"Adventure,Indie,RPG",Alice & Smith,Alice & Smith,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing",2015,"Become a Secret Agent and investigate paranormal activities in this dark Lovecraftian universe. This Alternate Reality Game will have you explore complex puzzles in-game but also in real-life; interacting with real websites, companies, and NPCs that we created as part of our universe."
349240,Edolie,"Indie,RPG",Eridani Games,KOMODO,"Single-player,Family Sharing",2015,"In the world of Edolie, people are gathering to celebrate the coming of Harvest, the biggest event of the year. But for Willow, this is going to be a harvest unlike any other. Experience the world of Edolie as you and a group of new found friends discover its secrets!"
349250,Copy Kitty,"Action,Indie",Nuclear Strawberry,KOMODO,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Family Sharing",2018,"Boki can copy the special abilities of any foe and then combine up to 3 of them into a unique super-weapon! Blast through hordes of evil robots in cyberspace, while training to become a superhero!"
349260,BlastZone 2,"Action,Indie",Matt Edzenga,,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Remote Play Together,Family Sharing",2015,"BlastZone 2 is a sci-fi side scrolling shooter that combines 2D and 3D gameplay elements with a shifting camera. Play solo or join up with a friend locally or online to battle the alien forces! There are many game modes, ship types, and difficulty levels, find your favorite combination!"
349270,Mosaic,"Adventure,Indie",Krillbite Studio,Raw Fury,"Single-player,Steam Achievements,Partial Controller Support,Family Sharing",2019,Enter a world that’s utterly surreal and eerily familiar. Escape the mundanity of your existence in an experience that will stay with you. Mosaic is a narrative-driven modern adventure game with a story that lasts about 2-3 hours.
349280,Panda School Browser,"Education,Software Training,Utilities,Early Access",Wiseman Softworks,Wiseman Softworks,,2015,Panda School Browser is a safe and simple browser for children. Optional «Kids Mode» feature prevents access to desktop or any other application while browsing. Let your kids explore the internet on their own and in complete safety!
349300,Littlewitch Romanesque: Editio Regia,"Casual,Simulation,Strategy",Littlewitch,JAST,"Single-player,Steam Trading Cards,Steam Cloud,Family Sharing",2015,"As Domino, you must mentor Aria and Kaya in their training to become witches, mastering the magical arts. Take them to the classroom to grow the skills required to master powerful spells. Send them on quests to test their progress and show them the dangers that exist in the world."
349320,The Rainy Port Keelung 雨港基隆,"Adventure,Indie",Erotes Studio,Erotes Studio,"Single-player,Steam Trading Cards,Steam Cloud,Commentary available,Family Sharing",2015,"The story will develop into the year of 1947, where the players would face one of the most traumatic historical events in the history of Taiwan.Sorry,now there are only English interface, English subtitles are still being processed,we hope to complete as soon as possible."
349440,The Undying Plague,"Action,Indie",Pixel Theory Games,SA Industry,"Single-player,Steam Trading Cards,Stats,Family Sharing",2015,"The Undying Plague is a top down shooter where your task is to fend off waves of attacking enemies and survive as long as possible. At your disposal will get a few weapons that we can improve for the money earned on the battlefield. Enter a world of pain, suffering and bloodthirsty zombies. Can you stop the plague?"
349450,Dark Forester,"Indie,Massively Multiplayer,RPG,Strategy",Morozov Sergey,Morozov Sergey,"Single-player,Multi-player,MMO,PvP,Online PvP,Steam Achievements,Steam Trading Cards,Stats,Family Sharing",2018,"Feel like a lord. Build and decorate your own forest. Place guardians, own heroes, lay traps and protect livestock from enemy hordes in this hardcore RPG strategy, Dark Forester."
349460,Lord of the Dark Castle,"Action,Adventure,Casual,Indie,RPG,Strategy",Craze Creative Studios,Conglomerate 5,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing",2015,"Lord of the Dark Castle is a casual turn-based retro style roguelike dungeon crawler with elements of strategy. Randomized levels, lots of skills without dependencies and lots of spells to cast. Challenging Monster AI - play it smart or die. Remember: Death is Permanent!"
349470,Drift Stage,"Action,Indie,Racing,Early Access",Super Systems Softworks,Super Systems Softworks,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Workshop,Partial Controller Support,Steam Cloud,Remote Play Together,Family Sharing",2023,Tear up the asphalt in the neon-infused and blue sky locales of Drift Stage.
349500,Cubicle Quest,"Indie,RPG,Simulation",Ian Isaro,GrabTheGames,"Single-player,Steam Trading Cards,Family Sharing",2015,"Cubicle Quest is a game about how life can suck. Dead end jobs, repetitive obligations, irritating coworkers... Cubicle Quest takes all of those things and turns them into enemies you can fight in an old-school RPG."
349510,Hanako: Honor & Blade,"Action,Adventure,Indie","+Mpact Games, LLC.","+Mpact Games, LLC.","Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Steam Achievements,Full controller support,In-App Purchases,Stats,Steam Leaderboards",2021,"Hanako: Honor &amp; Blade is a multiplayer melee experience set in Feudal Japan, with up to 24 players. Become one of four distinct warrior classes. Dominate the battlefield through multiple game modes and maps. ------ Full Release September 15th, 2021... 14 years in the making!"
349520,Armillo,"Action,Adventure,Casual,Indie",Fuzzy Wuzzy Games Inc.,Fuzzy Wuzzy Games Inc.,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Steam Leaderboards",2020,A sci-fi-style rolling 3D platformer.
349530,TableTop Cricket,"Casual,Indie,Sports",Big Ant Studios,Big Ant Studios,"Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing",2015,"Find the gaps in the field or just smack the ball out of the stadium, TableTop Cricket is a fast and furious take on cricket that takes you on a world tour with tense matches and challenges aplenty."
349540,PeriAreion,"Indie,Simulation,Strategy",Explorasaurus Studios,Explorasaurus Studios,"Single-player,Steam Achievements,Steam Trading Cards",2015,"Prepare for the ultimate test of survival! Do you have the skill necessary to build and manage the first sustainable extraterrestrial colony, or will your colonists become mere footnotes in the history of human space exploration? Their lives and legacies are in your hands!"
349550,Mighty Dungeons,"Adventure,Casual,Indie,RPG","Yohan Launay,Frederic Gaillard",Fire Biscuit Games,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Family Sharing",2015,"Enjoy hours of dungeons crawling and slashing a-la HeroQuest meets DungeonMaster. Mighty Dungeons is also customizable, submit new quests, campaigns, monsters, weapons and other items. Visit the workshop for more info."
349650,Tokyo Hosto,Adventure,Baller Industries,Baller industries,"Single-player,Family Sharing",2015,"Your name is Jayson Traish, and you have just graduated from high school. You failed your exams horribly and you face a life of menial work. Your only recourse is to try get a job at a host bar, where your duties include, hitting on women, drinking copious amounts of alcohol and cleaning the toilets."
349670,Solar System Conflict,"Action,Indie,Simulation,Strategy,Early Access",UnexEvo,UnexEvo,"Single-player,Multi-player,Co-op,Family Sharing",2015,"Solar System Conflict is a multiplayer space-survival game in which a colony of humans is stranded in a recently discovered solar system, in search of a way back to Earth."
349680,Supercharged Robot VULKAISER,"Action,Indie",ASTRO PORT,Henteko Doujin,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards,Family Sharing",2015,70s giant robot anime-inspired side-scrolling shooting from the creators of SATAZIUS and GIGANTIC ARMY!
349690,ARMED SEVEN,"Action,Indie",ASTRO PORT,Henteko Doujin,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Steam Leaderboards,Family Sharing",2015,"The year is 1989. 12 years have passed since the Gogoh Army’s invasion of Earth. Exposure to alien technology during the war enabled Earth’s own technologies to take massive leaps forward. International conflict that was previously rife in the history of mankind fell to an all-time low, and the Earth Federation was established as a..."
349710,Shwip,"Action,Casual,Indie",Jamhammer Games Inc.,Jamhammer Games Inc.,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Stats,Steam Leaderboards,Remote Play Together,Family Sharing",2021,"Dominate global leaderboards as you face an unrelenting geometric force. Shwip blends twin-stick arcade action with tight controls, jaw-dropping pixel destruction, and devastating weapons and abilities. Evade, outlast, and play with style in four game modes, both solo and local multiplayer."
349730,Popup Dungeon,"Indie,RPG,Strategy",Triple.B.Titles,Humble Games,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Steam Workshop,Includes level editor,Remote Play Together,Family Sharing",2020,"A tactical roguelike RPG inspired by our favorite tabletop games that lets you create any ability, item, villain, hero, and game imaginable."
349760,Snail Bob 2: Tiny Troubles,"Action,Adventure,Casual,Indie,RPG,Simulation",Hunter Hamster,Hunter Hamster,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing",2015,Help Snail Bob avoid the dangers that lie on his path. Snail Bob 2 is a puzzle game for all the ages. It'll make you think and smile.
349780,Fatty Maze's Adventures,"Adventure,Casual,Indie,Simulation",Five Cubed,T.G.S. TRUE GAMES STUDIO LIMITED,"Single-player,Family Sharing",2015,Mr. Fatty Maze’s Adventures is a logic game based on a thrilling story that offers an entirely new outlook on the world of labyrinths!
349790,Galaxy of Pen & Paper +1,"Indie,RPG",Behold Studios,Paradox Interactive,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Family Sharing",2017,"Turn-based RPG about a group of players rolling dice in the year 1999! Create your own game master and RPG party, as they roleplay, explore distant planets in their imagination, fight weird aliens and save the galaxy in the era of dial-up internet and floppy disks! (Includes +1 Edition content)"
349840,Ancestory,"Indie,Strategy",Kajak Games,"Kajak Games,Kajaksi Game Collective","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Cloud",2015,Turn-based strategy meets card game! Outwit your opponent on multiple different battlefields with cunning strategies. Build your own decks made of underworldly minions and powerful spells!
349890,Meadowland,"Indie,Simulation",Mårten Jonsson,PLAYISM,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Family Sharing",2014,"Meadowland is an interactive poem. Explore a world, partake in a story."
349950,GunWorld,"Action,Indie",m07games,m07games,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Family Sharing",2015,Plant seeds to grow guns in a challenging retro platformer.
349980,Gremlin Invasion: Survivor,"Action,Adventure,Indie","CS Squared Games,Among Giants",CS Squared Games,"Single-player,Co-op,Family Sharing",2015,"Gremlin Invasion: Survivor is a co-op overhead action shooter. With 8 different levels to choose from and up to 8 players, you'll play together in a survival-style mission to blast away hordes of gremlins that have come to take you out."
350000,Exostorm,"Action,Indie","Midnight Oil Games, LLC","Midnight Oil Games, LLC","Single-player,Full controller support,Family Sharing",2015,A classic top-down vertical scrolling &quot;shoot-em-up&quot; with amazing music and art.
350010,Time Mysteries: Inheritance - Remastered,"Adventure,Casual",Artifex Mundi,Artifex Mundi,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Family Sharing",2015,Face the Time Traveller to save the future!
350050,EITR,"Action,Adventure,Indie,RPG",Eneme Entertainment,Devolver Digital,"Single-player,Steam Achievements,Full controller support,Family Sharing",soon,Eitr is an action RPG built around exceptional combat and formidable challenges set within a mythological Norse world.
350070,Environmental Station Alpha,"Action,Adventure,Indie","Arvi Teikari,Roope Mäkinen",Hempuli Oy,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing",2015,Explore an abandoned space station in this retro-themed explorative action platformer.
350080,Wolfenstein: The Old Blood,Action,MachineGames,Bethesda Softworks,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Steam Leaderboards,Family Sharing",2015,"Wolfenstein®: The Old Blood™ is a standalone prequel to the critically acclaimed first-person action-adventure shooter, Wolfenstein®: The New Order. This adventure spans eight chapters and features the hallmarks of MachineGames – thrilling action, immersive story, and intense FPS combat."
350090,No Pineapple Left Behind,"Indie,Simulation,Strategy",Subaltern Games,Subaltern Games,"Single-player,Steam Achievements,Family Sharing",2016,Dehumanize kids and make money.
350110,TransOcean 2: Rivals,"Simulation,Strategy",Deck13 Hamburg,astragon Entertainment ,"Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud,Family Sharing",2016,In TransOcean 2: Rivals you face a new challenge as the boss of your own shipping line in both single-player and - for the first time - multiplayer mode: The international competition has gotten a lot tougher and the battle for the most lucrative contracts has only just begun.
350140,Majestic-12,"Action,Adventure,Indie",Exis,Exis,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Partial Controller Support,Remote Play Together,Family Sharing",2020,"A game about weird little people defending the universe. Aside from being incredibly stupid-fun, Majestic-12 is a 3d action side-scroller where you take control of an elite MJ-12 commando and battle your way through secret installations and strange alien environments with your friends."
350200,Revolution 60,Adventure,Giant Spacekat,Giant Spacekat,"Single-player,Captions available,Family Sharing",2016,Explore the orbital weapons platform N313 with Holiday and her team of operatives. Along the way you must make choices and live with the outcome.
352720,The Universim,"Indie,Simulation,Strategy",Crytivo,Crytivo,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Family Sharing",2024,"Jump straight into managing your own planets as you guide a civilization through the ages. Build the ultimate empire in The Universim, a new breed of God Game in development by Crytivo."
353070,Ghost Encounters: Deadwood - Collector's Edition,"Adventure,Casual",Anarchy Enterprises,Anarchy Enterprises,"Single-player,Steam Trading Cards,Family Sharing",2015,The town of Deadwood is being terrorized by the ghost of a murderous outlaw in Ghost Encounters: Deadwood - The Collector's Edition!
353080,Redrum: Time Lies,"Adventure,Casual,Indie",Anarchy Enterprises,Anarchy Enterprises,"Single-player,Steam Trading Cards,Family Sharing",2018,"The twisted and evil Dr. Sigmund Fraud has been released from the asylum, and is up to his old tricks. Help Detective Ravenwood track him down and end his terrible crimes in Redrum – Time Lies. Dive into this Hidden Object Puzzle Adventure game and free the souls of Dr. Fraud’s victims from their nightmares."
353090,Chicken Invaders 5,"Action,Casual,Indie",InterAction studios,InterAction studios,"Single-player,Multi-player,Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards,Remote Play Together,Family Sharing",2015,"Chicken Invaders puts you at the forefront of a battle against invading intergalactic chickens, bent on revenge for our oppression of Earth chickens. This time, the chickens have hatched a devious plan to block out sunlight and freeze Earth to death!"
353110,Dreamscapes: Nightmare's Heir - Premium Edition,"Adventure,Casual,Indie",Shaman Games Studio,HH-Games,"Single-player,Steam Cloud,Family Sharing",2015,"The Sandman came back to take revenge. This time his victim is Tim, Laura’s husband. Will you succeed in pulling him out of nightmare?"
353190,Bombshell,"Action,Adventure",Slipgate Ironworks™,3D Realms,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing",2016,"Bombshell is an Action Shooter game in which bomb disposal technician turned mercenary for hire, Shelly &quot;Bombshell&quot; Harrison must strong-arm her way across 4 planets in an Unreal Engine-powered galactic adventure to rescue the president (and humanity) from an apocalyptic alien threat."
353260,Snails,"Action,Strategy","Jorge Lima,Alexandre Fontoura",2Brains Games,"Single-player,Steam Achievements",2015,"They are slow and dumb, and they sure need you! Snails is a 2D platformer/puzzle game where the main objective is to help the snails reach the level exit."
353270,Hyperdimension Neptunia Re;Birth3 V Generation,"RPG,Strategy","Idea Factory,Compile Heart,Felistella","Idea Factory,Idea Factory International","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing",2015,"Lost in an alternate dimension, Neptune must collect enough shares to get back home. Sounds easy – except the Seven Sages want to rid Gamindustri of CPUs, including Neptune! Help defeat them and return her to her own world in this JRPG – or be stuck in the '80s forever!"
353280,Metamorphabet,"Casual,Indie",Vectorpark,Vectorpark,"Single-player,Family Sharing",2015,"Metamorphabet is a playful, interactive alphabet for all ages."
353300,Rooftop Cop,Indie,Lawra Suits Clark,Independent,"Single-player,Family Sharing",2015,"A world of Police that have forgotten what, and why, they are policing. Rooftop Cop is a collection of five endless vignette games and a 7-track album. The games are set on a loose metaphysical timeline in which the Cops slowly lose their way."
353330,Love at First Sight,Indie,Creepy Cute,Sekai Project,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing",2015,"After falling in love at first sight with the shy Sachi Usui, an injury-ridden, single-eyed high school girl, the protagonist tries to win over her lonely and isolated heart. A pure, heart-warming romance game where the apple of your eye only has one eye!"
353340,Dungeon Highway,"Action,Indie",Substantial,Substantial,"Single-player,Steam Trading Cards,Partial Controller Support,Steam Leaderboards,Family Sharing",2015,"Dungeon Highway drops you into a delightfully stylized fantasy world filled to the brim with dastardly monsters. Heart-pounding action, nostalgic graphics and an enchanting chiptune soundtrack bring a new milestone to the genre of endless arcade racing."
353360,how do you Do It?,"Free To Play,Indie","Nina Freeman,Emmett Butler,Decky Coss,Joni Kittaka",none,Single-player,2015,&quot;how do you Do It?&quot; puts players in the role of an 11-year-old girl whose mother has just stepped out for an errand. The girl immediately grabs her dolls and furtively attempts to figure out how sex works using these plastic surrogates.
353380,Steam Link,,,,Full controller support,2015,"Extend your Steam gaming experience to your mobile device, TV, VR headset or PC - all you need is a local network or internet connection. In addition, the Steam Link app now supports Remote Play Together. Now you can join games hosted on a friend’s PC just by clicking a link."
353540,Stephen's Sausage Roll,Indie,increpare games,increpare games,"Single-player,Full controller support,Captions available,Steam Cloud,Family Sharing",2016,A simple 3d puzzle game.
353550,House of Caravan,"Adventure,Indie",Rosebud Games,Senpai Studios,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Family Sharing",2015,"Taking place in a single mansion in Candlewood, northeast USA, in the early 20th Century, House of Caravan is a sinister adventure filled with dark secrets and vexing puzzles."
353560,Plug & Play,"Adventure,Casual,Indie","Mario von Rickenbach,Michael Frei",Etter Studio,"Single-player,Family Sharing",2015,"Run, hit, switch, fall, love, plug, pull. And push."
353580,Rad Rodgers: World One,"Action,Adventure,Indie",Slipgate Ironworks™,"HandyGames,3D Realms","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",2016,"Bringing back the 90's-era PC platformer with a game inspired by classics like Commander Keen, Conker, Ruff'n'Tumble &amp; Jazz Jackrabbit."
353600,Spellbind,"Adventure,Indie,RPG",Point2Point Entertainment,Strategy First,"Single-player,Family Sharing",2015,"Valhonis must vanquish the evil that has taken over the kingdom, and restore peace to the land!"
353610,DEUS EX MACHINA 2,Indie,"Automata Source,Quirkafleeg","Automata Source,Potassium Frog","Single-player,Family Sharing",2015,"The legendary video game is reborn, Deus Ex Machina 2 is a darkly comic cradle-to-grave roller-coaster of your entire life. A surreal journey from before your birth, through the temptations and dangers of your life, and beyond your own death."
353630,Oil Enterprise,"Indie,Simulation,Strategy",Crafty Studios,astragon Entertainment,"Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Family Sharing",2016,"In Oil Enterprise, you enter the multi-million dollar business of black gold as a shrewd businessman. Accept the challenge and grow from a small-scale en-trepreneur, investing in your first oilfield, to a global oil magnate."
353640,Train Valley,"Action,Adventure,Casual,Indie,Simulation,Strategy","Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy,Flazm","Flazm,META Publishing","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Family Sharing",2015,"Build railways, manage traffic and stay accident-free. Play in Europe, America, Japan and USSR in 1830-2020. Complete the story mode from the Gold Rush of 1849 to the first manned spaceflight, and then explore the random mode. Management. Construction. Trains. Welcome to Train Valley!"
353700,The Deadly Tower of Monsters,"Action,Adventure,Indie",ACE Team,SEGA,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Remote Play Together,Family Sharing",2016,"Fire up your ray guns, crystal swords, and laser whips, and get ready for thrills and chills! With three incredible movie stars playing out decidedly B-level sci-fi exploits, Dick Starspeed, Scarlet Nova, and Robot will have you ready to jump off the side of the tower—right into adventure!"
353790,Spud!,Adventure,Charybdis Ltd,Alternative Software Ltd,"Single-player,Family Sharing",2015,Take on the role of Spud and prevent the evil Doctor Chillblane from enslaving the world with his cruel tyranny. Travel the world from pole to pole running a gauntlet of strange creatures.
353890,Casey Powell Lacrosse 16,Sports,"Big Ant Studios,Crosse Studios",Big Ant Studios,"Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV,Remote Play Together,Family Sharing",2016,"Featuring in-depth lacrosse gameplay, high quality graphics, multi-year career mode, competitive online multiplayer, real-time RPG leveling and character customization, Powell Lacrosse 16 brings the sport to life like never before."
353940,Aces of the Luftwaffe,Action,HandyGames,HandyGames,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",2015,YOU have to show what you’re made of as the war over Europe is in full swing. Fight waves of Axis planes and panzers until you hit the boss enemies – the ACES OF THE LUFTWAFFE.
353980,Ankh - Anniversary Edition,Adventure,Deck13,Deck13,"Single-player,Steam Trading Cards,Family Sharing",2015,"Sneak into the pharaoh's pyramid and meet up with Assil and his crew of crazy friends. Just as the party starts to get hot, a silly accident turns life upside down! Help Assil reverse the curse!"
353990,Parvaneh: Legacy of the Light's Guardians,"Action,Adventure,Indie",Bearded Bird Game Studio,KPL,"Single-player,Steam Trading Cards,Family Sharing",2016,"Fadia, a young and courageous boy sets about protecting ‘Naria’, his home village, from the Khazdaks who are trying to pollute their river."
354030,VolChaos,"Action,Adventure,Indie",Fun Infused Games,Fun Infused Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards,Family Sharing",2015,Volchaos is an ultra-challenging old school platformer.
