appid,title,genres,developers,publishers,tags,release_year,short_description
15970,Luxor,Casual,MumboJumbo,Accelerate Games,"Single-player,Family Sharing",2008,"Addictive and exciting, Luxor is an action-puzzler that takes you on a thrilling adventure across Ancient Egypt. Isis has enlisted you to battle Set and his evil minions. Use your scarab to shoot and destroy the approaching spheres before they reach the pyramids. Use Isis magic by catching talismans, gems, and Ankh coins."
16000,Discovery! A Seek and Find Adventure,Casual,MumboJumbo,Accelerate Games,"Single-player,Family Sharing",2008,"Break out your magnifying glass and passport-It's time for Discovery!, the seek-and-find game show with your host, Jerry Landers and the beautiful Jill Summers. Step up to the wheel, and choose today's adventure! Will it be Spain, China, Australia, or one of three other fabulous international hot spots?"
16020,Samantha Swift and the Hidden Roses of Athena,Casual,MumboJumbo,Accelerate Games,"Single-player,Family Sharing",2008,"On a quest to recover the Scepter of Zeus for The Museum of Lost Secrets, archeologist and adventurer Samantha Swift stumbles upon one of the greatest archeological finds of all time! Unfortunately, she also runs into greedy treasure hunter Ravena Stryker."
16030,7 Wonders: Treasures of Seven,Casual,MumboJumbo,Accelerate Games,"Single-player,Family Sharing",2008,It's time to build nine of the most intriguing structures throughout history! Match runes to break blocks and uncover the lock and keystone for each round. Rotate the cube face to move your keystone along the pathways you've created to reach each level's lock and conquer all six sides!
16040,Luxor: Quest for the Afterlife,Casual,MumboJumbo,Accelerate Games,"Single-player,Family Sharing",2008,"LUXOR, the #1-selling, action-puzzle game, blasts outside Egypt's borders and onto the Silk Road in search of riches beyond imagination. One of the most beautiful and well-known faces in history is also one of its greatest mysteries."
16060,Samantha Swift and the Golden Touch,Casual,MumboJumbo,Accelerate Games,"Single-player,Family Sharing",2009,"When Samantha's new benefactor asks her to track down Alexander the Great's Scroll of Wealth, the opportunity seems too be good to be truesearching for the scroll while collecting amazing finds for the Museum of Secrets Lost!"
16100,Virtual Villagers: A New Home,"Casual,Simulation",Last Day of Work,,"Single-player,Family Sharing",2008,"Care for and nurture a tribe of little people by teaching them the basics of survival. They need to become farmers, builders, scientists, parents and make decisions about unpredictable 'island events'! Guide their day-to-day lives and help them explore and restore their new home."
16110,Virtual Villagers: The Lost Children,"Casual,Simulation",Last Day of Work,,"Single-player,Family Sharing",2008,"Somewhere in the Pacific, there was a beautiful island, called Isola, where lost villagers made their home. The castaways explored their small part of the island and knew every corner. Only a mysterious cave had not been carefully explored."
16120,Plant Tycoon,"Casual,Simulation",Last Day of Work,,"Single-player,Family Sharing",2008,"Plant Tycoon is a gardening sim game where you nurture plants and experiment with increasingly rare and valuable species. The object is to breed and cross breed plants until you find the 6 Magic Plants of Isola and solve the genetic puzzle. You start with a couple of dollars, a handful of seeds, some soil and water."
16130,Fish Tycoon,"Casual,Simulation",Last Day of Work,,"Single-player,Family Sharing",2008,"Fish Tycoon is a virtual fish breeding game. The object is to breed and cross breed fish until you find the 7 Magic Fish and solve the genetic puzzle. You will have to buy supplies like meds, eggs and special plants and then sell some of your fish in your virtual pet store."
16180,Virtual Villagers - The Secret City,"Casual,Simulation",Last Day of Work,,"Single-player,Family Sharing",2008,Embark on a journey with a group of villagers in search of a new part of the island to populate. Land on the hidden shores of the northern side of Isola and explore what was once a secret city. Find new sources of food to nourish your villagers and help them rebuild the remains of this mysterious city. Who lived here before?
16200,Virtual Families,"Casual,Simulation",Last Day of Work,,"Single-player,Family Sharing",2009,"From the developer of the smash-hit Virtual Villagers series comes the new casual game that captures the drama of life&#151;Virtual Families! Virtual Families is a casual family sim that runs in true-real time. Adopt and nurture a needy person in the computer. Help them meet a mate, and start a family."
16300,Everyday Shooter,"Indie,Casual",Queasy Games,,"Single-player,Partial Controller Support,Family Sharing",2008,"Everyday Shooter is an album of games exploring the expressive power of abstract shooters. Dissolute sounds of destruction are replaced with guitar riffs harmonizing over an all-guitar soundtrack, while modulating shapes celebrate the flowing beauty of geometry."
16450,F.E.A.R. 2: Project Origin,Action,Monolith,"Warner Bros. Games,Warner Bros. Interactive Entertainment","Single-player,Multi-player,Family Sharing",2009,"Assume the role of Special Forces Sgt. Becket as your routine mission quickly turns into a fight for survival against the wrath of Alma Wade. As Alma's terrifying power surges out of control, your squad is forced to battle through an apocalyptic landscape in search of clues for how to destroy her!"
16500,Chaos Theory,"Casual,Indie",blurredVision,blurredVision,"Single-player,Steam Achievements,Family Sharing",2008,Meet Chaos Theory! A balanced mix of arcade gameplay and challenging physics-based puzzle solving.The main objective in Chaos Theory is to fill &quot;Collectors&quot; with magnetically charged particles. Those particles move freely in the environment and are influenced by other objects and their magnetic forces.
16600,Trials 2: Second Edition,"Indie,Racing,Sports",Redlynx,,"Single-player,Multi-player,Steam Achievements,Family Sharing",2008,"RedLynx Trials 2 Second Edition is a spectacular motorcycle game featuring stunning graphics and addictive gameplay! 4 game types (race, flip, wheelie, dynamic)Race: Race against other players to compete levels as fast as possibleFlip: Try to make as many backflips or frontflips with your bikeWheelie: Drive on your backwheel for longest..."
16620,Monster Trucks Nitro ,"Indie,Racing,Sports",Redlynx Ltd,,"Single-player,Family Sharing",2009,"Race, jump and nitroboost your way pass thrilling dynamic levels with your monster trucks. Earn medals and unlock new levels and vehicles. Lots of brilliant tracks Be fast but use also your wits to pass the tracks Improve your times and earn medals Collect the Nitro tanks to unleash special powers! Unlock extra trucks!"
16710,Insecticide Part 1,"Action,Adventure",Crackpot Entertainment,Missing Link Games,"Single-player,Family Sharing",2008,"Enter the fast shooting world of INSECTICIDE as hot shot rookie Detective Chrys Liszt and help solve a crime of epic proportions. Lead your team on a bug hunt, collecting clues and solving puzzles. Use old-fashioned street smarts, unique insect abilities and an arsenal of ingenious bug weapons to confront your suspects."
16720,Velvet Assassin,Action,Replay Studios,Missing Link Games,"Single-player,Partial Controller Support,Family Sharing",2009,"Inspired by the fascinating story and unbreakable spirit of British secret agent Violette Szabo, players take control of Violette Summer, a beautiful World War II spy deep behind enemy lines with no support or official backing from the British Government."
16730,Legendary,Action,Spark Unlimited,SouthPeak Games,"Single-player,Family Sharing",2008,"All creatures of ancient myth, legend and lore are real  they've just been sealed away for thousands of years inside Pandora's Box, waiting... When a thief named Deckard is hired to steal an ancient artifact, he unwittingly triggers a war between man and myth."
